source,target
25668,5209
140692,211355
151269,43389
21000,32159
121421,296773
24547,379282
17823,217055
21068,216523
128417,21015
19689,6386
17116,251049
140692,25668
1445,27945
21000,27945
108673,31921
2187,8961
191816,686372
21068,68749
128417,21000
376297,42788
210702,283530
210702,26641
3169,5720
129936,6458
129936,28207
129936,82442
19758,21000
38175,4124
104792,26641
211355,234445
24547,31921
197366,216523
20762,21015
125159,270001
19689,56789
127501,171072
156461,197366
156461,192899
177674,205091
144143,276945
129936,24547
25540,28207
1445,1763
4415,44619
125159,60992
21068,87812
19689,24106
156461,83131
129936,26641
216523,247365
21015,86373
25668,34789
2590,8961
151269,25668
12390,19689
154486,99202
125885,36860
130916,31921
1763,197366
251049,36860
31921,5720
129936,191816
26641,7722
40768,99509
125290,250080
264287,43389
151331,216523
197366,201802
154486,5209
138498,247365
290760,31921
27945,5289
130916,84768
1763,21068
13802,3169
283215,45378
40768,5600
107900,34390
21015,26641
